"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"AAMDC",4.64068955408189e-06,-0.953352998941859,0.241,0.308,0.0925353497083929,"AAMDC"
"RPL19",5.13549513418634e-124,0.953017017461738,0.942,0.994,1.02401772975676e-119,"RPL19"
"PNPLA4",0.555805295131122,-0.95295369800544,0.14,0.136,1,"PNPLA4"
"PQBP1",8.92283225757413e-06,-0.952791115802405,0.283,0.335,0.177921275216028,"PQBP1"
"RHBDD2",0.00112293771189328,-0.952254597736204,0.192,0.237,1,"RHBDD2"
"DCTD",0.0102347037263044,-0.952245755639532,0.22,0.244,1,"DCTD"
"PCLAF",4.93294362330096e-08,-0.95174716592502,0.124,0.239,0.000983628958486212,"PCLAF"
"RPS27A",2.42497278219605e-117,0.95166733313705,0.949,0.984,4.83539572769891e-113,"RPS27A"
"UCK1",0.0231349564056364,-0.951638964518095,0.136,0.165,1,"UCK1"
"CYBRD1",0.000131759125828478,-0.95163327281203,0.257,0.304,1,"CYBRD1"
"PPP5C",0.0795812865508084,-0.950926882100209,0.126,0.145,1,"PPP5C"
"PPP1R8",0.0266295915980613,-0.950420595459965,0.131,0.16,1,"PPP1R8"
"RPL3",9.29640522154872e-121,0.949995517379501,0.956,0.989,1.85370320117681e-116,"RPL3"
"FLNA",0.000269715881875609,0.949808914848096,0.129,0.075,1,"FLNA"
"PDPR",0.316607466404012,-0.949400166877451,0.121,0.129,1,"PDPR"
"MZT1",1.76214375823997e-05,-0.948488293154479,0.154,0.225,0.351371465393049,"MZT1"
"TRIM73",2.5284246123766e-09,0.947586781806971,0.1,0.036,5.04167867707893e-05,"TRIM73"
"MOSPD3",0.000676792601583139,-0.947103015463809,0.136,0.19,1,"MOSPD3"
"USE1",0.00148381058528021,-0.94520305987323,0.208,0.247,1,"USE1"
"TPMT",0.0425486856417565,-0.944779241908677,0.201,0.215,1,"TPMT"
"NUTM2A-AS1",1.6918860090428e-14,0.944592900946822,0.259,0.115,3.37362070203135e-10,"NUTM2A-AS1"
"ITM2B",1.77131586442904e-120,0.943425364791956,0.937,0.987,3.53200383367151e-116,"ITM2B"
"COL4A2",0.00352821187978508,0.943299519538118,0.227,0.168,1,"COL4A2"
"NXF1",6.86308284191634e-05,-0.943230634933643,0.112,0.178,1,"NXF1"
"RPS28",3.2591833155452e-125,0.942812542116958,0.942,0.996,6.49881153119712e-121,"RPS28"
"RPL26L1",5.74819823602697e-14,-0.942552019425122,0.32,0.444,1.14619072826378e-09,"RPL26L1"
"NEDD4",0.00121037728751961,0.942473424104927,0.1,0.058,1,"NEDD4"
"ZFP91",7.98459931721611e-21,0.942053789129934,0.383,0.168,1.59212910385289e-16,"ZFP91"
"DHRSX",0.0429281734878684,-0.940800810421736,0.161,0.182,1,"DHRSX"
"STRADA",4.03708081312691e-12,0.940542066063807,0.15,0.055,8.04993914137506e-08,"STRADA"
