"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"STAU2",7.05765569702733e-95,-2.20825663449636,0.079,0.286,1.40729654598725e-90,"STAU2"
"PAN3",1.26506119010033e-129,-2.20696769959313,0.107,0.377,2.52253201306007e-125,"PAN3"
"HLA-DRB1",6.21251300714847e-70,2.20580952220584,0.376,0.165,1.2387750936254e-65,"HLA-DRB1"
"LMNA",8.9095907565347e-161,2.20211947904846,0.57,0.198,1.77657239685302e-156,"LMNA"
"PTBP2",9.70974537586351e-88,-2.19918242569109,0.05,0.231,1.93612322794718e-83,"PTBP2"
"CBR4",3.22458385323471e-76,-2.19359743750218,0.047,0.208,6.42982020335002e-72,"CBR4"
"OASL",3.97766580063518e-25,2.18987313033196,0.105,0.021,7.93146560646656e-21,"OASL"
"ZC3H12A",7.06034384991769e-40,2.18912771609085,0.195,0.056,1.40783256367359e-35,"ZC3H12A"
"TNF",2.01065676248701e-49,2.18867935751636,0.258,0.085,4.0092495843991e-45,"TNF"
"COMMD7",9.23393876268874e-40,-2.18637899459308,0.048,0.153,1.84124738928013e-35,"COMMD7"
"WDR70",1.16066092415438e-128,-2.18291387696797,0.117,0.386,2.31435788276383e-124,"WDR70"
"ITGB3BP",1.02153375183728e-44,-2.17857509120956,0.041,0.149,2.03693830116354e-40,"ITGB3BP"
"HSPA1B",0,2.17670448755402,0.866,0.337,0,"HSPA1B"
"NBEA",1.14976327937465e-69,-2.17211982116108,0.038,0.183,2.29262797907306e-65,"NBEA"
"TCN2",2.19636014950011e-71,2.16936202921039,0.305,0.083,4.37954213810322e-67,"TCN2"
"RPL17",1.05336007326349e-207,-2.16469574973934,0.238,0.612,2.10039998608739e-203,"RPL17"
"AHR",1.4885262888535e-72,2.16425891686361,0.332,0.101,2.96812141997388e-68,"AHR"
"CXCL3",1.27244779326577e-41,2.16082909745139,0.206,0.061,2.53726089977194e-37,"CXCL3"
"IL4I1",7.80293679334683e-41,2.15364080403402,0.171,0.037,1.55590559659336e-36,"IL4I1"
"OAS2",1.26626007743388e-77,2.1501846155315,0.302,0.068,2.52492259440315e-73,"OAS2"
"NDUFA9",2.13287745678005e-48,-2.14638458848729,0.04,0.153,4.25295764881941e-44,"NDUFA9"
