"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PTBP2",3.3896973645492e-47,-1.60411262195402,0.1,0.231,6.7590565449111e-43,"PTBP2"
"LINC01176",7.65012779540007e-27,-1.60163074001703,0.051,0.126,1.52543548240277e-22,"LINC01176"
"TRMT11",3.83444898881557e-26,-1.59347140433688,0.055,0.131,7.64589128369825e-22,"TRMT11"
"FOCAD",2.46394638266032e-25,-1.59300431761428,0.057,0.132,4.91310908702467e-21,"FOCAD"
"EXOC4",6.56260250271074e-80,-1.59269564712815,0.231,0.423,1.30858293904052e-75,"EXOC4"
"FAM120B",3.55717355800616e-55,-1.58596664186199,0.074,0.207,7.09300407466428e-51,"FAM120B"
"RYR3",2.29927450972696e-29,1.58486240986264,0.108,0.017,4.58475337239555e-25,"RYR3"
"AKAP12",1.04627592023741e-64,1.58361351896879,0.353,0.129,2.0862741849534e-60,"AKAP12"
"ID3",2.42527179377293e-21,1.58122989541458,0.146,0.057,4.83599195678321e-17,"ID3"
"IGFBP1",1.68244341667377e-68,-1.5799064025295,0.068,0.222,3.35479217284749e-64,"IGFBP1"
"PRIM2",2.28620524566501e-36,-1.57861662114648,0.067,0.167,4.55869325985604e-32,"PRIM2"
"DOCK9",1.88029757236152e-26,1.57618218536298,0.117,0.026,3.74931335928887e-22,"DOCK9"
"ZNF780B",1.76293496884967e-31,-1.57208222863431,0.044,0.125,3.51529232788625e-27,"ZNF780B"
"GPC3",2.41627551951091e-39,-1.569797882534,0.039,0.129,4.81805338590475e-35,"GPC3"
"R3HDM1",4.55931817367955e-41,-1.56932891146813,0.084,0.199,9.09128043831703e-37,"R3HDM1"
"IMMP1L",6.14882945080362e-27,-1.56695675738909,0.048,0.122,1.22607659249024e-22,"IMMP1L"
"ELMO1",3.30182373430295e-75,-1.56468721354902,0.273,0.451,6.58383652620008e-71,"ELMO1"
"EGR3",2.77038550284021e-37,1.56465983975911,0.213,0.073,5.52414869266338e-33,"EGR3"
"FAF1",2.92081028538147e-73,-1.56407836218917,0.161,0.349,5.82409570905066e-69,"FAF1"
"UBE2E2",1.59765717957615e-79,-1.56385613004463,0.159,0.358,3.18572841607484e-75,"UBE2E2"
"ELP4",5.18358349499414e-50,-1.56382162963775,0.107,0.246,1.03360654890183e-45,"ELP4"
"ZNF512",7.47255054745125e-31,-1.56169153434736,0.043,0.122,1.49002657916178e-26,"ZNF512"
"TTC27",1.24282877756258e-28,-1.56098813689912,0.052,0.132,2.47820058245978e-24,"TTC27"
"CDKN1A",4.37822709764774e-95,1.55378770361423,0.433,0.145,8.73018483270959e-91,"CDKN1A"
"EGR2",1.20967322679157e-66,1.55264496822377,0.339,0.116,2.41208841422239e-62,"EGR2"
"MCU",6.88542093081403e-27,-1.55246730074814,0.061,0.141,1.37295293360432e-22,"MCU"
"MS4A4E",7.07863944121801e-38,-1.55083030809741,0.082,0.19,1.41148070457887e-33,"MS4A4E"
"HDAC4",6.05532032303216e-31,-1.55006269015923,0.079,0.172,1.20743087241261e-26,"HDAC4"
"CA5B",6.74545646067637e-22,-1.54803199823637,0.046,0.111,1.34504401825887e-17,"CA5B"
"TUBB2A",1.12794110321873e-45,1.54572238521214,0.266,0.094,2.24911455981815e-41,"TUBB2A"
"OPHN1",2.18792101568113e-29,-1.54549899606551,0.075,0.164,4.36271450526818e-25,"OPHN1"
"NPHS1",1.77498698118162e-24,1.54507936630906,0.135,0.041,3.53932404047615e-20,"NPHS1"
"ZNF407",6.79463807539967e-43,-1.54278539893776,0.134,0.264,1.35485083223469e-38,"ZNF407"
"APBA1",8.266896892055e-53,-1.53786854338188,0.125,0.272,1.64841924027577e-48,"APBA1"
"NLK",3.39514801344445e-72,-1.53707841329689,0.173,0.36,6.76992513880824e-68,"NLK"
"SCMH1",1.36179029097031e-26,-1.53555975514916,0.064,0.145,2.71540984019479e-22,"SCMH1"
"NAV2",1.23988307674369e-68,-1.53505311392459,0.308,0.475,2.47232685502691e-64,"NAV2"
"FGL1",2.75252449720188e-72,-1.53270196886017,0.285,0.46,5.48853384742054e-68,"FGL1"
"DTNA",2.37758323081106e-54,-1.53057639377992,0.172,0.326,4.74090096223726e-50,"DTNA"
"STK3",8.12365561711076e-75,-1.5300020154322,0.212,0.401,1.61985693005188e-70,"STK3"
"CTSK",2.15902669886157e-24,1.5268339619893,0.142,0.047,4.30509923752997e-20,"CTSK"
"DDIT4",1.38748565884391e-49,1.5250091511182,0.239,0.068,2.76664640373476e-45,"DDIT4"
"GTDC1",5.82593416121132e-52,-1.5228469803672,0.175,0.326,1.16169127174554e-47,"GTDC1"
"EXOC6B",5.48462328698797e-55,-1.51926491136774,0.166,0.324,1.0936338834254e-50,"EXOC6B"
"ERC2",3.1654900455831e-35,-1.51865626097476,0.083,0.188,6.3119871508927e-31,"ERC2"
"NUTM2A-AS1",9.50653457371473e-48,-1.51493194670555,0.071,0.193,1.89560299399872e-43,"NUTM2A-AS1"
"ATP8A1",3.10731712227814e-26,-1.5111446568431,0.047,0.12,6.1959903418226e-22,"ATP8A1"
"GPRIN3",9.73913669830775e-34,-1.50891892554098,0.06,0.153,1.94198385764257e-29,"GPRIN3"
"DYM",3.94625235382329e-56,-1.50483321098137,0.125,0.278,7.86882719352364e-52,"DYM"
"ATXN7L1",5.26213802036928e-40,-1.50441006746445,0.108,0.228,1.04927032126163e-35,"ATXN7L1"
"HDAC8",3.24495247068447e-47,-1.50360817732073,0.149,0.29,6.47043522654483e-43,"HDAC8"
"ATP9B",2.97179175179241e-59,-1.50317629930261,0.154,0.314,5.92575275307407e-55,"ATP9B"
"FER",7.47849122333559e-69,-1.49875881663545,0.182,0.363,1.49121114993312e-64,"FER"
"FTO",8.73346480409423e-44,-1.49850754422013,0.126,0.258,1.74145288193639e-39,"FTO"
"NRF1",1.84286003213321e-31,-1.4977669434849,0.089,0.187,3.67466290407362e-27,"NRF1"
"JAZF1",2.09006904847191e-34,-1.49681875846201,0.059,0.152,4.16759768265298e-30,"JAZF1"
"MX2",7.41883184284869e-48,1.49476822542582,0.295,0.114,1.47931506946403e-43,"MX2"
"AVL9",3.03511828661355e-52,-1.49449250063141,0.121,0.266,6.05202586350742e-48,"AVL9"
"FAM135A",1.14197147345864e-45,-1.49283906573024,0.101,0.23,2.27709111807653e-41,"FAM135A"
"CEACAM21",3.54901297366111e-32,-1.49268127949922,0.036,0.112,7.07673186948025e-28,"CEACAM21"
"RAP1GDS1",1.51044699111139e-47,-1.48993138453576,0.107,0.242,3.01183130027612e-43,"RAP1GDS1"
"FBXL17",5.47287101393969e-65,-1.48606023744851,0.16,0.336,1.09129048017957e-60,"FBXL17"
"COP1",1.71476413346458e-75,-1.48233156339171,0.201,0.395,3.41923968212837e-71,"COP1"
"WDPCP",4.29122014521302e-48,-1.4820120068268,0.13,0.27,8.55669296955477e-44,"WDPCP"
"TNKS",2.95501419460974e-49,-1.47874359411611,0.096,0.231,5.89229830405182e-45,"TNKS"
"ITGA9",1.29215571851243e-58,-1.47605674410832,0.131,0.293,2.57655850271378e-54,"ITGA9"
"TTC28",5.0010692332716e-38,-1.47498241804954,0.111,0.229,9.97213205114356e-34,"TTC28"
"UQCC1",1.6863811700469e-27,-1.47151099244175,0.05,0.127,3.36264405307352e-23,"UQCC1"
"ZDHHC21",3.87182702989638e-47,-1.47004702688075,0.112,0.248,7.72042309761339e-43,"ZDHHC21"
"TTC39C",1.19960116356341e-27,-1.4695735823268,0.061,0.143,2.39200472014544e-23,"TTC39C"
"SLC2A9",5.4207066387109e-36,-1.46593342001369,0.071,0.173,1.08088890375895e-31,"SLC2A9"
"TTLL5",2.0130970552039e-27,-1.4634637969873,0.074,0.16,4.01411552807658e-23,"TTLL5"
"NSMCE2",3.36384455404733e-66,-1.46306386625391,0.189,0.367,6.70750604077038e-62,"NSMCE2"
"MIR22HG",3.57955727026773e-36,1.4624290340966,0.22,0.08,7.13763719691385e-32,"MIR22HG"
"ZNF438",1.16163411946673e-18,-1.46148805135597,0.045,0.103,2.31629843421667e-14,"ZNF438"
"HDAC9",3.81550572731552e-82,-1.45631905065284,0.362,0.542,7.60811842026715e-78,"HDAC9"
"TMEM241",1.31171875385179e-19,-1.45564891426022,0.065,0.132,2.61556719518047e-15,"TMEM241"
"FGF13",4.67532042177075e-77,-1.45547655563046,0.381,0.547,9.32258892101087e-73,"FGF13"
"FUT8",8.35913606693668e-36,-1.45406505469417,0.116,0.231,1.66681173174717e-31,"FUT8"
"MAML3",8.42144124470101e-48,-1.45228499532289,0.159,0.305,1.67923538419338e-43,"MAML3"
"NUAK1",1.92566178525211e-34,-1.45143571381424,0.08,0.183,3.83976959979271e-30,"NUAK1"
"PAN3",2.28239623832986e-60,-1.44821596479981,0.21,0.377,4.55109809922975e-56,"PAN3"
"ABCC4",2.49577371025725e-38,-1.44747606602066,0.093,0.206,4.97657277825296e-34,"ABCC4"
"GAB2",1.09755603456956e-66,-1.44698146335637,0.205,0.385,2.18852673293171e-62,"GAB2"
"TBC1D5",1.48222908955476e-79,-1.43865157744705,0.275,0.47,2.9555648045722e-75,"TBC1D5"
"PUDP",2.88489397278147e-26,-1.43359999489429,0.056,0.134,5.75247858172625e-22,"PUDP"
"TRAPPC9",1.57914303691661e-53,-1.43351668734916,0.135,0.288,3.14881121561171e-49,"TRAPPC9"
"PALLD",4.03104681828095e-47,1.43240561361968,0.314,0.133,8.03790735565221e-43,"PALLD"
"COX10",6.2716901060156e-23,-1.42978146533502,0.053,0.122,1.25057500713951e-18,"COX10"
"MTERF1",1.19403992365095e-18,-1.42877557611464,0.046,0.104,2.38091560775999e-14,"MTERF1"
"ADM",2.6209253092655e-47,1.42798431628803,0.326,0.142,5.22612506667541e-43,"ADM"
"TNF",2.39292717067177e-36,1.42756504851287,0.228,0.085,4.77149677831952e-32,"TNF"
"ARHGAP32",1.48829838980358e-39,-1.42660858821951,0.115,0.236,2.96766698926834e-35,"ARHGAP32"
"SLX4IP",8.35148424183878e-35,-1.42511200110317,0.094,0.2,1.66528595782265e-30,"SLX4IP"
"TRIM47",7.76072087575844e-33,1.42462102252499,0.198,0.069,1.54748774262623e-28,"TRIM47"
"PMAIP1",3.13609176716937e-88,1.4241375632906,0.45,0.167,6.25336698373572e-84,"PMAIP1"
