"subtype","dataset","disease_group","UMAP_1","UMAP_2","trimester"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.177188744463279,-0.561034347925605,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.414718271859243,-0.28905251256031,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.89502119056161,6.17566350468594,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.286493776060893,-0.525475706968727,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.44267009726937,-1.25296696654362,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.0590295589787225,2.39103845128017,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-1.84607135287698,6.69363168248135,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-3.29978655806954,1.81290272244411,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.329689750753091,1.57029310234982,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.256631923534228,-5.89700123301548,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-1.82128035060342,5.66992000111538,"Late"
"MKI67+ Proliferating","GSE290578","Normal 3rd trimester / Preeclampsia",4.66676760681693,-6.25381418696445,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-3.18318842879708,-0.980283107672157,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",1.14635480412071,2.82269099720913,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.57293914786751,0.481908205833016,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.440024977244689,1.30540934571224,"Late"
