"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ATP6V1B2",1.6725878558771e-29,0.41454662292923,0.513,0.383,3.33514018461894e-25,"ATP6V1B2"
"MGAT4B",3.11203899285087e-11,0.414475613342819,0.207,0.144,6.20540575174463e-07,"MGAT4B"
"VPS11",9.58354501251322e-08,0.414365534153462,0.132,0.09,0.00191095887549514,"VPS11"
"TMEM65",2.97772104118448e-08,-0.414308723724114,0.153,0.203,0.000593757575612186,"TMEM65"
"GPBP1L1",1.54654612225462e-08,-0.413922316351438,0.177,0.229,0.000308381296777572,"GPBP1L1"
"SLC2A8",0.000964750427701836,-0.413712204145638,0.212,0.24,1,"SLC2A8"
"FUBP3",0.00217798377437837,-0.413658115354012,0.149,0.173,1,"FUBP3"
"HMGN1",3.04830062473563e-06,-0.413638201905163,0.367,0.404,0.0607831144572284,"HMGN1"
"GNS",1.34295158441402e-35,0.413210778173188,0.576,0.444,2.67784545932157e-31,"GNS"
"HFE",0.00931696982325274,-0.413049551692532,0.149,0.169,1,"HFE"
"DNMT3A",1.27824770348611e-08,-0.413030768858303,0.167,0.219,0.000254882592075131,"DNMT3A"
