"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CARS2",2.15865935842124e-05,-0.69169256993061,0.085,0.117,0.430436676069195,"CARS2"
"CEP162",2.17225523519521e-05,-0.602208892368204,0.102,0.135,0.433147693897925,"CEP162"
"COL4A1",2.17455197447027e-05,0.0121573518417615,0.127,0.17,0.433605663709372,"COL4A1"
"ROMO1",2.17987909976985e-05,0.114751232942735,0.29,0.225,0.434667892494107,"ROMO1"
"SYVN1",2.19733677162421e-05,0.373565969465312,0.12,0.08,0.438148952261868,"SYVN1"
"MAP3K2",2.20042322814796e-05,-0.282952159277287,0.34,0.377,0.438764391692703,"MAP3K2"
"VEZT",2.20439085400026e-05,-0.333695611564351,0.171,0.211,0.439555536287652,"VEZT"
"PATZ1",2.20457738422417e-05,0.668856148571716,0.103,0.067,0.439592730414299,"PATZ1"
"TRPM2",2.21081755010348e-05,-0.286785742074206,0.313,0.35,0.440837019490634,"TRPM2"
"FUNDC1",2.21650100834664e-05,0.37788417231791,0.113,0.075,0.441970301064321,"FUNDC1"
"REST",2.22468099265568e-05,0.290021057388332,0.277,0.216,0.443601389935543,"REST"
"MRPL36",2.22971921647832e-05,0.240137914758753,0.149,0.104,0.444606011765777,"MRPL36"
"PSTPIP1",2.2374779828517e-05,0.432536023904335,0.169,0.122,0.446153109780629,"PSTPIP1"
"AASS",2.23972067688837e-05,-0.499552772237357,0.114,0.15,0.44660030297154,"AASS"
"SAP30L",2.24555743261025e-05,0.194110647332594,0.147,0.102,0.447764152062484,"SAP30L"
"RDH11",2.25212948587262e-05,0.339209773615089,0.226,0.172,0.449074619483001,"RDH11"
"MRPL9",2.33317451185119e-05,0.588151619917438,0.111,0.074,0.465234997663128,"MRPL9"
"PLEKHJ1",2.33435013286656e-05,0.200615547767623,0.195,0.144,0.465469416493591,"PLEKHJ1"
"U2AF2",2.34930222435533e-05,0.265323571760357,0.172,0.124,0.468450863536453,"U2AF2"
"FGD3",2.3541830394517e-05,-0.432061581345298,0.189,0.228,0.469424098066669,"FGD3"
"TRIM22",2.36020649049423e-05,0.302641008843896,0.234,0.178,0.47062517420455,"TRIM22"
"NUP214",2.37335145458668e-05,0.291924137163319,0.348,0.283,0.473246280044585,"NUP214"
"PLAA",2.40309403103922e-05,-0.484938380273812,0.105,0.14,0.479176949789221,"PLAA"
"ZC3HAV1",2.41799329350227e-05,0.180830563373062,0.412,0.36,0.482147862724353,"ZC3HAV1"
"IFIT5",2.43833947008669e-05,0.655110387660404,0.105,0.069,0.486204890335285,"IFIT5"
"STRN4",2.44892726127169e-05,0.318766948692004,0.133,0.091,0.488316095897574,"STRN4"
"ACLY",2.45016915264237e-05,0.339045245435768,0.162,0.116,0.488563729036888,"ACLY"
"CPSF3",2.47367160552102e-05,-0.709074935903388,0.085,0.117,0.493250118140891,"CPSF3"
"SLC9A1",2.50082669796439e-05,0.367529687554271,0.122,0.082,0.4986648435741,"SLC9A1"
"HIGD1A",2.59494915296309e-05,0.04471183233856,0.134,0.092,0.51743286110084,"HIGD1A"
"COLGALT1",2.60622547369839e-05,0.231273631733364,0.509,0.44,0.519681359455459,"COLGALT1"
"PPM1G",2.66118795486439e-05,0.260528002815691,0.25,0.195,0.530640878199959,"PPM1G"
"SH3YL1",2.67058585586512e-05,-0.435058999864384,0.099,0.134,0.532514819659505,"SH3YL1"
"PDLIM2",2.68277146895697e-05,0.276945741755992,0.181,0.132,0.53494463091002,"PDLIM2"
"SDF2L1",2.69137666824468e-05,0.155599663246392,0.218,0.163,0.536660507647989,"SDF2L1"
"ZFX",2.70769878674034e-05,-0.281920479090802,0.216,0.255,0.539915138076025,"ZFX"
"FKBP5",2.71563465754979e-05,-0.282173270430912,0.37,0.4,0.541497550715428,"FKBP5"
"MBTPS2",2.78606329673399e-05,-0.619035177821338,0.086,0.119,0.555541021368758,"MBTPS2"
"PRMT2",2.79518397060134e-05,-0.285010472928044,0.364,0.404,0.557359683737907,"PRMT2"
"KANK2",2.80328768811262e-05,0.2600912387376,0.322,0.262,0.558975565009656,"KANK2"
"COA4",2.81462456831583e-05,0.194647183113041,0.188,0.139,0.561236138922176,"COA4"
"PRPF19",2.81649965090429e-05,0.58300413306584,0.13,0.089,0.561610030390314,"PRPF19"
"PPP2R2A",2.83709601350388e-05,-0.432101500465719,0.262,0.298,0.565716945092673,"PPP2R2A"
"MINDY2",2.84538700384157e-05,0.3485359555105,0.23,0.173,0.567370168566009,"MINDY2"
"TAOK1",2.85254499167599e-05,-0.283924069653061,0.393,0.431,0.568797471340192,"TAOK1"
"PECAM1",2.85309050914933e-05,-0.225040148880021,0.332,0.377,0.568906247524376,"PECAM1"
"CPNE3",2.888008205953e-05,0.289615245940955,0.256,0.197,0.575868836267028,"CPNE3"
"LEPROTL1",2.8906481810003e-05,0.271930548392825,0.265,0.204,0.576395247291461,"LEPROTL1"
