"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","Count"
"GO:0051926","negative regulation of calcium ion transport",29,0.420028429110557,1.39640863948491,0.0824524312896406,0.394005402108565,0.350614272022305,1405,"tags=31%, list=15%, signal=27%","UBR3/STC1/SESTD1/BCL2/PKD2/PPP3R1/HES1/PPP3CC/PPP3CA","Infection",9
"GO:0042130","negative regulation of T cell proliferation",38,0.390580917117151,1.37603016654784,0.0826086956521739,0.394005402108565,0.350614272022305,932,"tags=24%, list=10%, signal=21%","PDE5A/CLEC4G/CR1/PDCD1LG2/CBLB/RC3H1/ITCH/DLG1/PELI1","Infection",9
"GO:0071357","cellular response to type I interferon",56,0.347370947490361,1.33305954180631,0.0823798627002288,0.394005402108565,0.350614272022305,2571,"tags=41%, list=27%, signal=30%","WNT5A/HDAC4/TRAF3/OAS2/IFIH1/TBK1/NLRC5/OAS3/RBM47/IFNAR2/SAMHD1/IFIT1/ISG15/GIGYF2/STAT1/PTPN2/TRIM6/SP100/TANK/YTHDF3/IRF7/USP18/TBKBP1","Infection",23
"GO:0050678","regulation of epithelial cell proliferation",170,-0.30720633806511,-1.28512799215101,0.0825545171339564,0.394005402108565,0.350614272022305,590,"tags=12%, list=6%, signal=12%","NME1/IRS2/MAGED1/MYC/NUPR1/SERPINF1/NR4A1/PDCL3/CDK4/HMGB2/PDGFB/CAV1/MDK/GATA3/PGF/WDR77/JAML/PTN/ZNF580/SYNJ2BP/ATP7A","Infection",21
"GO:0050768","negative regulation of neurogenesis",69,0.321373427000995,1.2815452403595,0.0823244552058111,0.394005402108565,0.350614272022305,2540,"tags=43%, list=27%, signal=32%","DAB1/WNT5A/SEMA6B/FGF13/RAPGEF2/DIP2B/NF1/SEMA3D/RUFY3/LHX2/EPHB2/BMPR1A/HES1/PPP3CA/PROX1/RYK/PTEN/IL1B/CDKL3/SKI/HOOK3/NRP1/ULK2/PSEN1/PCM1/SPP1/RB1/KDM4A/NF2/APPL2","Infection",30
"GO:0032722","positive regulation of chemokine production",40,0.384072870692892,1.35655505122447,0.0827740492170022,0.394398873146077,0.350964410778375,1885,"tags=30%, list=20%, signal=24%","WNT5A/TLR2/TIRAP/OAS3/EIF2AK2/HIF1A/CLEC7A/IL1B/NOD2/IL4R/ADAM17/APP","Infection",12
"GO:0099558","maintenance of synapse structure",12,0.538813725390474,1.46115995451249,0.0831683168316832,0.395091006106599,0.351580320338999,881,"tags=33%, list=9%, signal=30%","ERC2/ERC1/OPHN1/DLG1","Infection",4
"GO:0045103","intermediate filament-based process",26,-0.490976560881035,-1.43265414847618,0.0830188679245283,0.395091006106599,0.351580320338999,300,"tags=19%, list=3%, signal=19%","KRT18/KRT7/DSP/KRT23/KRT19","Infection",5
"GO:0099054","presynapse assembly",14,0.516161081874597,1.42991860110747,0.0831643002028398,0.395091006106599,0.351580320338999,1993,"tags=43%, list=21%, signal=34%","WNT5A/IL1RAP/PTEN/APP/PCLO/LRFN3","Infection",6
"GO:0006744","ubiquinone biosynthetic process",12,-0.609171566539392,-1.48899680324364,0.0845070422535211,0.395140983425109,0.35162479374229,1721,"tags=58%, list=18%, signal=48%","NDUFA9/COQ9/COQ6/COQ5/COQ4/FDXR/COQ7","Infection",7
"GO:1901663","quinone biosynthetic process",12,-0.609171566539392,-1.48899680324364,0.0845070422535211,0.395140983425109,0.35162479374229,1721,"tags=58%, list=18%, signal=48%","NDUFA9/COQ9/COQ6/COQ5/COQ4/FDXR/COQ7","Infection",7
"GO:0001675","acrosome assembly",10,0.574840423821886,1.45453372472668,0.0838445807770961,0.395140983425109,0.35162479374229,1521,"tags=50%, list=16%, signal=42%","VPS13B/RFX2/AGFG1/MFSD14A/SLC9A8","Infection",5
"GO:0051546","keratinocyte migration",10,0.574438914736634,1.45351777581098,0.0838445807770961,0.395140983425109,0.35162479374229,3341,"tags=90%, list=35%, signal=58%","PPARD/MTOR/PTEN/MMP9/ADAM9/HBEGF/IQSEC1/MAP4K4/MAPRE2","Infection",9
"GO:0044091","membrane biogenesis",41,-0.447225771004504,-1.43143513082041,0.0837789661319073,0.395140983425109,0.35162479374229,2536,"tags=44%, list=27%, signal=32%","CHMP2B/NSFL1C/CHMP2A/HDAC3/SIRT2/CHMP4A/CHMP1A/RCC1/UBE2I/CHMP4B/PEX16/CHMP6/REEP4/SPTBN1/BANF1/S100A10/CAV1/CHMP1B","Infection",18
"GO:0010800","positive regulation of peptidyl-threonine phosphorylation",16,0.503726901670303,1.42863248407967,0.0842105263157895,0.395140983425109,0.35162479374229,3070,"tags=50%, list=32%, signal=34%","WNT5A/RPTOR/APP/CAB39/TRIM6/PRKAG2/UBE2K/MAPK1","Infection",8
"GO:0033260","nuclear DNA replication",30,-0.477225098990697,-1.42479949925689,0.0844277673545966,0.395140983425109,0.35162479374229,830,"tags=27%, list=9%, signal=24%","PCNA/LIG1/MCM3/GMNN/MCM4/MCM2/TK1/FEN1","Infection",8
"GO:0043162","ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",32,-0.469665212052663,-1.4234085661407,0.0834879406307978,0.395140983425109,0.35162479374229,2701,"tags=47%, list=29%, signal=34%","TSG101/CHMP2B/CHMP2A/VPS28/CHMP4A/CHMP1A/VPS36/SNF8/CHMP4B/MVB12A/HDAC6/CHMP6/RNF126/VPS25/CHMP1B","Infection",15
"GO:0045104","intermediate filament cytoskeleton organization",25,-0.493183426119389,-1.41860116438414,0.0836501901140684,0.395140983425109,0.35162479374229,300,"tags=20%, list=3%, signal=19%","KRT18/KRT7/DSP/KRT23/KRT19","Infection",5
"GO:0043369","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment",13,0.518830549484136,1.41133828600311,0.0843621399176955,0.395140983425109,0.35162479374229,3311,"tags=62%, list=35%, signal=40%","TOX/BRAF/BCL2/MTOR/ZFPM1/CTSL/SOCS3/STAT3","Infection",8
"GO:0140029","exocytic process",50,0.364775062891272,1.35695728567319,0.0842824601366743,0.395140983425109,0.35162479374229,2611,"tags=38%, list=28%, signal=28%","EXOC6B/ERC2/SYT1/RAB12/EXOC4/STXBP5/UNC13B/EXOC2/SYNJ1/EXOC6/STX11/RAB8B/PSEN1/SYK/EXOC5/CTBP2/LYN/STX3/STX2","Infection",19
"GO:0098754","detoxification",67,-0.383365497497276,-1.35049880194229,0.0833333333333333,0.395140983425109,0.35162479374229,1371,"tags=21%, list=14%, signal=18%","LTC4S/MT1E/ESD/PRDX4/MGST2/ABCG2/MT1F/GPX3/GSTK1/ALDH1A1/GSTZ1/PTGES/ATP7A/PRDX2","Infection",14
"GO:0045446","endothelial cell differentiation",57,0.346783290026263,1.32452075604171,0.0843091334894614,0.395140983425109,0.35162479374229,2419,"tags=39%, list=26%, signal=29%","PLCB1/PDE2A/RAPGEF2/RAPGEF1/STC1/ACVR1/BMPR2/HEG1/ROCK2/PROX1/RBPJ/PDE4D/IL1B/ZDHHC21/NRP1/ROCK1/EDNRB/HPSE/JAG1/CLIC4/SMAD4/IKBKB","Infection",22
"GO:0002221","pattern recognition receptor signaling pathway",161,0.268046893875491,1.25877271765059,0.0840416484039125,0.395140983425109,0.35162479374229,2548,"tags=35%, list=27%, signal=26%","TICAM2/ESR1/PRKCE/FOSL1/TLR2/DDX60/PTPN22/GPS2/NOD1/TLR1/TRAF3/MAPK8/ITCH/LACC1/ANKRD17/PELI1/ALPK1/IRAK3/TIRAP/RSAD2/USP15/OASL/AP3B1/NLRC4/SARM1/IFIH1/SRC/TBK1/OAS3/NEK7/EIF2AK2/PUM2/IRAK2/RFTN1/NAIP/NOD2/RAB11FIP2/TRIM25/PUM1/RPS6KA3/OTULIN/PLCG2/NPLOC4/MARK4/MFHAS1/CD300LF/COLEC12/PIK3R1/PIK3AP1/IKBKB/EPG5/WDFY1/SEC14L1/APPL2/IRF7/LYN","Infection",56
