"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ASCC2",0.420610804437594,0.0924897655815995,0.137,0.148,1,"ASCC2"
"ITCH",0.420864662973615,0.089970361118891,0.217,0.214,1,"ITCH"
"TXNRD1",0.421639973297959,-0.152190933614053,0.222,0.237,1,"TXNRD1"
"EIF3G",0.422168911047315,-0.179074723755347,0.426,0.415,1,"EIF3G"
"GART",0.422990089119968,-0.0643931575950648,0.13,0.141,1,"GART"
"TLK1",0.423233160803177,-0.179684567784247,0.196,0.206,1,"TLK1"
"PSMD11",0.423313587520818,-0.0699305240403157,0.225,0.242,1,"PSMD11"
"SLC30A9",0.423337445977015,0.0537347363693607,0.152,0.148,1,"SLC30A9"
"RBBP4",0.424173599501025,-0.0767040734142274,0.322,0.32,1,"RBBP4"
"CHP1",0.424589766916361,-0.157788154159495,0.269,0.264,1,"CHP1"
"MRPL41",0.42531561910567,-0.113322496287744,0.341,0.337,1,"MRPL41"
"ARL16",0.425350720494792,-0.157102946599888,0.096,0.103,1,"ARL16"
"ERCC1",0.425509549651694,-0.188580030453472,0.222,0.233,1,"ERCC1"
"GPATCH2L",0.426354561542353,0.0963569822180683,0.246,0.265,1,"GPATCH2L"
"CCT8",0.426742640997064,-0.140868322988773,0.376,0.374,1,"CCT8"
"DNM1L",0.427708388437779,-0.0439617220596601,0.205,0.221,1,"DNM1L"
"NUMB",0.427845291867574,0.0560793027125186,0.236,0.255,1,"NUMB"
"PLB1",0.428226437772693,-0.135887352047357,0.193,0.206,1,"PLB1"
"SLC31A1",0.428908187635171,-0.023279550558608,0.271,0.267,1,"SLC31A1"
"ZFYVE16",0.429368551450394,0.0147080574690303,0.402,0.41,1,"ZFYVE16"
"NDUFB6",0.429547530050766,-0.207094595526286,0.25,0.242,1,"NDUFB6"
"TMEM222",0.430067804835416,-0.0883723188934233,0.103,0.111,1,"TMEM222"
"BAX",0.430239500231108,-0.149261924282224,0.419,0.417,1,"BAX"
"DTNB",0.431082964743926,-0.0788323169081256,0.245,0.256,1,"DTNB"
"CUL4A",0.431260542119483,-0.0603764731633257,0.185,0.198,1,"CUL4A"
"ROMO1",0.431422180336967,-0.132539354274208,0.351,0.347,1,"ROMO1"
"MAPK1",0.4314488528773,-0.141803766221235,0.309,0.327,1,"MAPK1"
"IKBKG",0.432968695659632,0.109399385012837,0.126,0.122,1,"IKBKG"
"DLGAP4",0.433522804553108,0.0246808374113094,0.117,0.126,1,"DLGAP4"
"ATXN7L3",0.436495150622661,0.111185553724056,0.111,0.121,1,"ATXN7L3"
"NENF",0.437265315883777,-0.168119192233799,0.34,0.332,1,"NENF"
"POLR2C",0.438681981870724,-0.25032515737382,0.113,0.121,1,"POLR2C"
"TET3",0.439072477058256,0.281806554992698,0.187,0.185,1,"TET3"
"UROS",0.439373812297559,-0.0628620320160573,0.158,0.153,1,"UROS"
"CES2",0.440353430122362,0.0451604893093138,0.103,0.111,1,"CES2"
"EVL",0.440565689423757,0.0017129557183776,0.34,0.343,1,"EVL"
"DHX30",0.441770639932542,0.153621181828814,0.163,0.16,1,"DHX30"
"EXOSC8",0.442200669052038,-0.0291541364665714,0.132,0.142,1,"EXOSC8"
