"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0098916","anterograde trans-synaptic signaling",269,0.401071490608324,1.4190286926207,0.00233337560308965,0.143349937673789,0.137540029572119,1925,"tags=30%, list=21%, signal=25%","PLCB1/SYN3/RPS6KA2/EGR2/ROR2/PRKCE/EGR3/BTBD9/SIPA1L1/CX3CR1/DYSF/APBA3/MME/AKAP12/STX3/TNF/CDH1/ABHD6/TRIO/SLC4A8/CDKL5/TMOD2/PRKCZ/EPHB2/GABRA3/CELF4/CPEB3/DAG1/DNM1/MCTP2/P2RX7/DISC1/EXOC4/EXT1/AKAP9/STXBP5/OPHN1/ADRB2/SYT11/SYNE1/DGKE/ABR/SLC12A6/SLC38A1/AKAP7/RETN/FBXL20/CEP89/PLCL2/GIT1/SYAP1/SNAP47/PRKCB/STX2/CLN3/PTPRA/UNC13B/SLC6A6/TSHZ3/RGS14/CLSTN1/PLCL1/ZMYND8/BRAF/GRIA4/KIF1B/S1PR2/MINK1/ABAT/PDE9A/RAPGEF2/CACNB4/KAT2A/SYT1/SLC38A2/NEFH/KMT2A/ERC1/DTNA/PTK2B/SYNJ1"
"GO:0031638","zymogen activation",33,-0.476188001763755,-1.72232224615359,0.00262350867344881,0.146287532327435,0.140358564843845,523,"tags=33%, list=6%, signal=32%","S100A10/CTSH/LGMN/FURIN/CIDEB/PLAU/FADD/PLAUR/SERPINE2/C1R/THBD"
"GO:0050853","B cell receptor signaling pathway",38,0.58675372551152,1.7090258887743,0.00263274195380732,0.146287532327435,0.140358564843845,14,"tags=5%, list=0%, signal=5%","IGKC/FCGR2B"
"GO:0140013","meiotic nuclear division",66,0.51827696263314,1.65050154735476,0.00257475928616789,0.146287532327435,0.140358564843845,2595,"tags=39%, list=28%, signal=29%","PLCB1/TEX14/RPS6KA2/RAD51B/RAD51AP1/PTTG1/MSX2/RAD1/SLX4/CHFR/SUN1/ORC4/FIGNL1/RMI1/FZR1/RAD51D/EME2/FANCM/EHMT2/CKS2/SMC2/CENPC/NCAPH2/FOXJ2/AGO4/SMC4"
"GO:0050820","positive regulation of coagulation",13,-0.674624261893063,-1.92252797601076,0.00277365865682681,0.15057459581831,0.144471875591523,507,"tags=38%, list=5%, signal=36%","PLAU/VKORC1/ENPP4/THBD/F3"
"GO:0060322","head development",368,0.378537538297253,1.35475753217531,0.00276742621097157,0.15057459581831,0.144471875591523,2888,"tags=40%, list=31%, signal=28%","PLCB1/FCGR2B/EGR2/TACC2/UNC5C/IMMP2L/LAMB1/TULP3/IFT172/DLG5/CX3CR1/ADGRG1/P2RY12/FUT10/IGF1R/C21orf91/BMP7/TRAPPC9/KDM4B/EGFR/SYNE2/PHLPP2/SLC2A1/CDH1/CEP290/FKRP/NDST1/NIN/WDR37/ANXA3/C2CD3/BMPR1A/CDK5RAP1/MNAT1/SMO/COL1A1/LDB1/SZT2/RTN4RL1/PROX1/PHACTR1/EPHB2/ATXN1/DISC1/EXT1/OPHN1/RAD1/EZH1/PLXNA3/SUDS3/RERE/TRA2B/DHX37/SUN1/SEMA6B/ZSWIM6/BNIP3/AGTPBP1/TTBK2/KDM7A/GIT1/NUMB/LHX2/CHD7/STK36/TCTN1/HERC1/HES1/EP300/NCOA1/NR4A2/FLVCR1/ARHGAP35/AXL/NOTCH1/CSNK2A2/BRAF/PCDH18/METTL3/MINK1/ABAT/AKNA/CHD8/CSRNP1/RRM1/RAPGEF2/NCOA6/SRGAP2/KIF27/KAT2A/SLC38A2/BBS7/CDK5RAP2/PDSS2/BBS4/DDX10/SETD1A/S100A1/ARID5B/EPHB3/FZD3/DPCD/TSC1/GSK3B/SOS1/NSUN5/PGAP1/CEP120/NDE1/SECISBP2/HOOK3/NIPBL/ROGDI/WDR47/HOXB3/BPTF/ANKRD11/DOCK7/FRS2/BMP2/ZNF148/METTL14/MECP2/MAPKAP1/PSEN1/PEX13/TAF1/FZD1/NF1/ABL1/SETD2/SEC16A/BTG2/PPT1/RYK/DYNC2H1/CCDC14/SRF/AXIN1/ATRN/KDM1A/GIT2/LRRK2/CDK6/CXCR4/NRP2"
"GO:1904816","positive regulation of protein localization to chromosome, telomeric region",11,-0.694947822256605,-1.89354347577622,0.00312402917786071,0.153585367601174,0.147360622156536,1329,"tags=91%, list=14%, signal=78%","CCT3/DKC1/CCT4/CCT2/CCT5/CCT8/GNL3/CCT6A/TCP1/CCT7"
"GO:1903405","protein localization to nuclear body",11,-0.693208907218377,-1.8888054060678,0.00318682321086493,0.153585367601174,0.147360622156536,2600,"tags=91%, list=28%, signal=66%","CCT3/DKC1/CCT4/MEPCE/CCT2/CCT5/CCT8/CCT6A/TCP1/CCT7"
"GO:1904867","protein localization to Cajal body",11,-0.693208907218377,-1.8888054060678,0.00318682321086493,0.153585367601174,0.147360622156536,2600,"tags=91%, list=28%, signal=66%","CCT3/DKC1/CCT4/MEPCE/CCT2/CCT5/CCT8/CCT6A/TCP1/CCT7"
"GO:1904869","regulation of protein localization to Cajal body",11,-0.693208907218377,-1.8888054060678,0.00318682321086493,0.153585367601174,0.147360622156536,2600,"tags=91%, list=28%, signal=66%","CCT3/DKC1/CCT4/MEPCE/CCT2/CCT5/CCT8/CCT6A/TCP1/CCT7"
