"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UBASH3B",0.000286701279617847,0.173448383520742,0.167,0.12,1
"NUMB",0.000288737996582794,0.201299960237542,0.277,0.219,1
"NXF1",0.000289833461045177,0.231022611975684,0.305,0.244,1
"FAM174B",0.000291199557817533,0.260836819647614,0.112,0.074,1
"BTG1",0.000291351860041132,-0.0371287599814418,0.531,0.448,1
"NRDC",0.000293842470654993,0.109905265692573,0.316,0.249,1
"PRPF31",0.000294420451719063,0.522475207204404,0.127,0.087,1
"PTTG1IP",0.000295050728363527,-0.400981346240315,0.422,0.443,1
"MECP2",0.000296356733914242,0.285416378968337,0.189,0.139,1
"FTSJ3",0.000296713272688351,0.150759115352125,0.121,0.081,1
"MED16",0.00029823561882582,0.39038998188533,0.13,0.09,1
"PIK3R4",0.000298848808621877,0.281981672198169,0.107,0.07,1
"ZNF141",0.000301263868477742,0.359080883324622,0.164,0.118,1
"PRRC2C",0.000304474543217916,0.123244731782773,0.647,0.555,1
"ASPSCR1",0.000304704533201799,0.393499484844483,0.133,0.093,1
"SCML1",0.000304977849972926,0.229496991189697,0.208,0.156,1
"EPC2",0.000305082135624704,0.10481241944044,0.195,0.144,1
"TRIM28",0.000305818459301769,0.154371960651776,0.302,0.243,1
"TRANK1",0.000308259148281249,0.375289049267615,0.126,0.086,1
"NPAT",0.000309221880645469,0.197528442939906,0.141,0.098,1
"NIPBL",0.000309731431146429,0.0892838309852557,0.459,0.375,1
"USP42",0.000311120025980259,0.0988838987209726,0.116,0.078,1
"ELF1",0.00031189679289884,0.0679863781560148,0.548,0.461,1
"SUPT4H1",0.000312320625027799,0.273799796229803,0.253,0.198,1
"DLG1",0.000312765953827862,0.432848928904696,0.197,0.147,1
"UBE2A",0.000315874762231425,0.145918720047703,0.366,0.297,1
"PSD3",0.000316162327833732,0.175314016182074,0.306,0.242,1
"PIK3C2A",0.000316849792637551,0.238257318417849,0.303,0.241,1
"LEO1",0.000319741181135192,0.201215944809947,0.135,0.093,1
"NDUFA12",0.000320428795924327,0.203164737770937,0.248,0.193,1
"INAFM2",0.000322045748431572,0.229729046207776,0.244,0.192,1
"PSMB8",0.000322167855458001,0.418543897446769,0.259,0.205,1
"RNF146",0.000322912616638664,0.259483282286701,0.166,0.121,1
"PLD3",0.000329976544063601,-0.209547886239692,0.724,0.699,1
"PLEKHM2",0.000330869026064737,0.159846482131494,0.366,0.301,1
"CCT8",0.000333127376126929,-0.447127566912626,0.32,0.355,1
"CHST15",0.000333320218580839,0.290394453797133,0.135,0.093,1
