"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TMEM41B",0.018960759427098,0.150126001670974,0.199,0.177,1,"TMEM41B"
"FAM174B",0.0190127820633101,0.137221249911093,0.123,0.106,1,"FAM174B"
"NMI",0.0190266911309573,0.0985558146799797,0.225,0.202,1,"NMI"
"DDB2",0.0191097998726324,0.0245985740261077,0.103,0.087,1,"DDB2"
"TMEM138",0.0191279192603906,-0.195423860924839,0.091,0.107,1,"TMEM138"
"CEP350",0.0191982634294397,0.0717838381149538,0.441,0.408,1,"CEP350"
"PBXIP1",0.0192549607848368,0.275541060200121,0.16,0.142,1,"PBXIP1"
"UBR1",0.0192582761100392,0.174845447630794,0.154,0.135,1,"UBR1"
"WBP2",0.0192920492258346,0.0464951975122421,0.441,0.408,1,"WBP2"
"MAN1A2",0.0193288933648222,0.114744606929428,0.278,0.255,1,"MAN1A2"
"PPIG",0.0194121822987276,0.0242701083060863,0.45,0.415,1,"PPIG"
"DENND6A",0.0194553921383789,0.0841293131069651,0.182,0.162,1,"DENND6A"
"RPL38",0.0195846763986258,0.0545848560121742,0.898,0.805,1,"RPL38"
"RAPGEF2",0.0195948267109425,0.0683964245030094,0.212,0.191,1,"RAPGEF2"
"CD4",0.0196044827817551,-0.0545774582920364,0.665,0.636,1,"CD4"
"CCDC92",0.019616419558864,0.208381234053614,0.107,0.091,1,"CCDC92"
"TMEM260",0.0196504854881352,0.183888223439366,0.118,0.102,1,"TMEM260"
"GMPR2",0.019708423290879,-0.0985427709468686,0.124,0.143,1,"GMPR2"
"TMEM87A",0.0198676323389267,0.146398793202887,0.259,0.237,1,"TMEM87A"
"SMARCC2",0.0199316251258504,0.0577592875010116,0.279,0.254,1,"SMARCC2"
"CABIN1",0.0199544830903293,-0.0983256267275994,0.138,0.119,1,"CABIN1"
"PGD",0.0199715578321735,-0.260528582272856,0.258,0.275,1,"PGD"
"CARD6",0.0199951969506832,0.21699094240562,0.17,0.15,1,"CARD6"
"SLC7A6",0.0200203478762448,0.140506785468018,0.154,0.135,1,"SLC7A6"
"BRD1",0.0200925230067,-0.0400951692434183,0.158,0.138,1,"BRD1"
"GNA12",0.0201707897803705,0.282326496379556,0.157,0.139,1,"GNA12"
"PURA",0.0201876449482559,0.0413029481596626,0.258,0.233,1,"PURA"
"STX7",0.020187734613559,0.0231776479780339,0.582,0.544,1,"STX7"
"MS4A14",0.0202670605573231,-0.497591574672941,0.091,0.105,1,"MS4A14"
"LMBR1",0.0202840716134665,0.0692676467522519,0.124,0.106,1,"LMBR1"
"EIF3K",0.0202932073856367,-0.0218288523514902,0.47,0.491,1,"EIF3K"
"DISP1",0.0203188467698874,0.0708929274418712,0.316,0.297,1,"DISP1"
"RENBP",0.0203391099960758,-0.187346012746426,0.251,0.27,1,"RENBP"
"ZNF267",0.0203534171572075,0.0166129101892283,0.26,0.234,1,"ZNF267"
"WDR13",0.0203910718695528,0.204458481661576,0.115,0.098,1,"WDR13"
"VAV1",0.0204368876656446,0.0279786161423498,0.39,0.361,1,"VAV1"
"UXT",0.020536127994994,0.120025656186268,0.357,0.332,1,"UXT"
"HOXB5",0.0205508899277279,0.273369595548975,0.125,0.108,1,"HOXB5"
"VPS13C",0.0206197471146461,-0.168243346077971,0.552,0.549,1,"VPS13C"
"GNA13",0.020622935598896,-0.229367746751267,0.433,0.441,1,"GNA13"
"TBC1D17",0.0206419751502416,0.0949703120669501,0.102,0.086,1,"TBC1D17"
