"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RAB11FIP2",0.198410073216402,-0.00680771480016285,0.234,0.212,1
"C1QTNF1",0.198442021192077,-0.32863821504733,0.054,0.041,1
"IVD",0.19852763774856,0.0998234014532829,0.228,0.2,1
"FUZ",0.198621220171248,-0.747573790848054,0.048,0.06,1
"HIPK3",0.198665161415459,-0.224996134068435,0.528,0.535,1
"KNTC1",0.198787239845674,0.100563341650649,0.058,0.045,1
"CES4A",0.198826407917902,0.798138405031336,0.08,0.067,1
"TM6SF1",0.198829180410758,-0.00228643281027191,0.394,0.361,1
"HEXA",0.199191122950008,0.0357040312106338,0.642,0.598,1
"GABPB2",0.199768840177854,0.0384193745152093,0.117,0.099,1
"UBE2Q1",0.200041443223459,-0.142818728558271,0.286,0.307,1
"TRMT10C",0.200046615219317,-0.0231123456305924,0.181,0.157,1
"HBS1L",0.200206637314154,0.274413905255739,0.16,0.141,1
"LILRA6",0.200289003447069,-0.252250879887248,0.129,0.149,1
"ITGB2-AS1",0.200470682722978,-0.676210671825078,0.047,0.059,1
"BPNT1",0.200626078552041,0.386920404733261,0.066,0.053,1
"COPG2",0.200863274557644,-0.00176384242778527,0.057,0.071,1
"PGAP3",0.201013312195002,0.516534617280989,0.076,0.062,1
"DOK3",0.201049521186679,0.0657576544621063,0.383,0.353,1
"SATB2",0.201147586111235,0.378502480051002,0.077,0.063,1
"WDR83",0.201207313044224,0.934171219214025,0.05,0.038,1
"PLA2G4A",0.201560794363069,0.0132738386006295,0.125,0.105,1
"LSM14B",0.201863549604628,0.0210118538877213,0.177,0.156,1
"PPP4R3B",0.201945070670741,0.034012261886122,0.352,0.324,1
"DEF6",0.202067921162239,-0.016014623619833,0.315,0.279,1
"NRAS",0.202141990763466,-0.119338659363,0.284,0.307,1
"RELT",0.202287862687423,0.201145046718068,0.278,0.255,1
"RNF123",0.202356560968672,0.0135332067752909,0.065,0.052,1
"NUP35",0.202425777342422,0.780151817453854,0.051,0.039,1
"BUB3",0.202537640156711,-0.138957637002961,0.255,0.278,1
"ZNF672",0.202731378334385,0.269789801272773,0.116,0.099,1
"NUCB1",0.202855618161356,0.092444470972304,0.623,0.558,1
"DALRD3",0.203031636841073,0.488435237099746,0.065,0.052,1
"ITPA",0.203165088602225,-0.292869976225934,0.272,0.289,1
"JAK1",0.20324510595889,-0.0378317373784975,0.606,0.549,1
"SPOPL",0.203576853631381,0.0249670248687045,0.221,0.196,1
"ARPP19",0.203619508500534,-0.254451543669404,0.47,0.48,1
"MOB3B",0.204060378144824,0.591244650628019,0.118,0.102,1
"ULK3",0.204066240158719,-0.0471112248408897,0.209,0.185,1
"NPIPA1",0.204201076099108,0.19787212114371,0.072,0.058,1
"DCUN1D5",0.204213133747973,0.0837490795533087,0.165,0.142,1
"GNL2",0.204324548095679,0.137957787698632,0.141,0.121,1
"SCRIB",0.204379566082743,0.220789111068258,0.115,0.096,1
