"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SCAMP5",0.260257049378547,-0.0973604967466285,0.25,0.209,1,"SCAMP5"
"ANO6",0.260396630456449,0.0277894247149254,0.22,0.184,1,"ANO6"
"HILPDA",0.261044440813489,0.0156835277499353,0.203,0.212,1,"HILPDA"
"ARHGAP15",0.261542973632376,-0.524794398639545,0.091,0.104,1,"ARHGAP15"
"TBC1D14",0.262492792288005,-0.251299014332875,0.343,0.33,1,"TBC1D14"
"BRAP",0.262562923378069,0.365994215963739,0.121,0.1,1,"BRAP"
"PNRC2",0.263024781513207,0.217205938680902,0.444,0.443,1,"PNRC2"
"LRRC58",0.263247419679314,0.234543460242523,0.336,0.283,1,"LRRC58"
"SECISBP2",0.263311251902271,0.433227166208234,0.255,0.216,1,"SECISBP2"
"RASSF3",0.263313765340728,-0.126413771405243,0.166,0.178,1,"RASSF3"
"CBLB",0.263345226342818,0.235344328893963,0.203,0.171,1,"CBLB"
"WDR12",0.263709672406577,-0.822924622854782,0.124,0.133,1,"WDR12"
"THAP1",0.263983959639758,-0.441833153628719,0.105,0.118,1,"THAP1"
"RALGAPA2",0.265521066121562,0.157909043917622,0.199,0.166,1,"RALGAPA2"
"G3BP1",0.266346680187564,0.120436796317436,0.467,0.469,1,"G3BP1"
"HERPUD2",0.266652580807879,-0.264570508646975,0.18,0.147,1,"HERPUD2"
"DDX5",0.267862644687733,0.136348220851644,0.708,0.895,1,"DDX5"
"EIF3K",0.268059244861987,0.0478902497419029,0.701,0.889,1,"EIF3K"
"CRK",0.268061834463257,0.253702347790197,0.414,0.362,1,"CRK"
"PAN3",0.268148373605451,-0.219428501152101,0.185,0.153,1,"PAN3"
"SH3BP2",0.268193094554428,-0.208482880325488,0.376,0.366,1,"SH3BP2"
"RNF121",0.268294132201751,-0.625598499806655,0.121,0.132,1,"RNF121"
"EHD4",0.268352230157562,0.0110429945705233,0.533,0.553,1,"EHD4"
"BAG3",0.268607998219176,-0.0734944658586559,0.147,0.161,1,"BAG3"
"POMGNT1",0.268636773401704,-0.201093978782966,0.121,0.135,1,"POMGNT1"
"ZC2HC1A",0.268637055812193,0.305412210401083,0.185,0.155,1,"ZC2HC1A"
"MEF2C",0.268756613113196,0.134648171481031,0.666,0.787,1,"MEF2C"
"HGS",0.269372067295812,-0.39420029119924,0.224,0.226,1,"HGS"
"TUBGCP2",0.269636106480075,-0.0233033871734735,0.306,0.256,1,"TUBGCP2"
"RHBDF2",0.269730943265635,-0.331302970338743,0.318,0.312,1,"RHBDF2"
"PPIL4",0.269783985528676,-0.108017419716168,0.301,0.296,1,"PPIL4"
"SNRNP48",0.270007783276634,-0.362768571756488,0.138,0.15,1,"SNRNP48"
"DPEP2",0.270198878137608,-0.471829834756125,0.121,0.098,1,"DPEP2"
"RILPL2",0.270480510823442,-0.4491640319647,0.292,0.282,1,"RILPL2"
"NCOA2",0.27078846252676,-0.187240824859345,0.255,0.209,1,"NCOA2"
"ARRDC3",0.270969212040642,0.0888638188756165,0.402,0.389,1,"ARRDC3"
"APOL2",0.271219670031089,-0.0665362285770238,0.208,0.169,1,"APOL2"
"MFHAS1",0.271363602638804,0.0125768098426289,0.402,0.343,1,"MFHAS1"
"GPR68",0.271483627273886,-0.604685141890574,0.171,0.176,1,"GPR68"
"MBD5",0.271519574948646,-0.215135267753381,0.14,0.115,1,"MBD5"
"DPP8",0.271598702937554,-0.361054733618624,0.227,0.182,1,"DPP8"
"PIK3R5",0.271955351142711,-0.415919558755848,0.154,0.125,1,"PIK3R5"
"ERVH48-1",0.272073218018627,1.00300082769515,0.103,0.125,1,"ERVH48-1"
"MIR22HG",0.272086960767928,-0.568468354834443,0.1,0.112,1,"MIR22HG"
"FYTTD1",0.272814780438513,0.104429779564906,0.299,0.299,1,"FYTTD1"
"RNF144B",0.273070159826561,-0.81837836848978,0.136,0.144,1,"RNF144B"
"TOMM20",0.273251306798794,0.452701310132865,0.612,0.629,1,"TOMM20"
"GART",0.273799088400349,0.270704413744401,0.206,0.172,1,"GART"
"MTMR6",0.274005644572827,-0.0862403367429637,0.192,0.158,1,"MTMR6"
"HNRNPUL2",0.275515101124524,-0.118938889170924,0.306,0.307,1,"HNRNPUL2"
"ZNF780A",0.275520646119118,-0.951895903392254,0.126,0.134,1,"ZNF780A"
"SLC5A3",0.275746730404459,0.031293558784952,0.182,0.152,1,"SLC5A3"
"NOL3",0.275793421667108,-0.904493583546919,0.114,0.124,1,"NOL3"
"BLOC1S4",0.276201654079982,-0.177104688090875,0.231,0.232,1,"BLOC1S4"
"NEK1",0.276513812985654,0.137039960062501,0.121,0.101,1,"NEK1"
"PDK1",0.276873314914126,-0.23067748530122,0.103,0.117,1,"PDK1"
"SUDS3",0.277257172524085,0.26883922489556,0.255,0.214,1,"SUDS3"
"TSPAN31",0.278214570127725,-0.0976000386033249,0.227,0.187,1,"TSPAN31"
"TEN1",0.278397125045647,-0.166903871555502,0.171,0.138,1,"TEN1"
"VRK2",0.278596440134115,-0.117655897918868,0.098,0.111,1,"VRK2"
"SSH2",0.278717306746686,-0.587022153345892,0.15,0.16,1,"SSH2"
"MRPL49",0.278840548705863,-0.782223909562607,0.126,0.136,1,"MRPL49"
"PAQR7",0.278861637896597,-0.379859616548203,0.124,0.136,1,"PAQR7"
"SUMO2",0.279445631651975,0.0894230368280469,0.724,0.899,1,"SUMO2"
"TOPORS",0.279904334288619,0.256045350592122,0.199,0.169,1,"TOPORS"
"TFAM",0.280228065721132,0.0479679071840028,0.297,0.295,1,"TFAM"
"TRIM41",0.280526054540642,-0.290809363090875,0.11,0.089,1,"TRIM41"
"SLC25A36",0.280657530485621,0.0566772182617051,0.306,0.256,1,"SLC25A36"
"LRCH1",0.280710119735057,-0.730504902421523,0.154,0.162,1,"LRCH1"
"TNFRSF12A",0.281051052236491,0.283967029608489,0.145,0.162,1,"TNFRSF12A"
"FLNB",0.281371778680402,1.16182172769322,0.114,0.101,1,"FLNB"
"PELP1",0.281540176155402,0.338629918688415,0.175,0.148,1,"PELP1"
"LCORL",0.28192345211007,-0.0236488737267572,0.215,0.18,1,"LCORL"
"SEPHS1",0.282224559903944,-0.172169510612853,0.175,0.185,1,"SEPHS1"
"WDFY2",0.282546084484021,-0.366665980263043,0.273,0.275,1,"WDFY2"
"RBPJ",0.282629494550819,0.0656579150039294,0.694,0.871,1,"RBPJ"
"DEGS1",0.282790493908889,-0.034426224348644,0.423,0.408,1,"DEGS1"
"HOXB7",0.282944739554526,-0.302189647908801,0.15,0.159,1,"HOXB7"
"EMC1",0.283539796496859,-0.133329500184589,0.208,0.172,1,"EMC1"
"CREB1",0.283753901823549,0.0266621818832028,0.299,0.25,1,"CREB1"
"SFXN1",0.283757447881293,-0.676000427614806,0.129,0.138,1,"SFXN1"
"C11orf68",0.283998572474183,0.128389170183904,0.166,0.138,1,"C11orf68"
"ANKMY2",0.284246239853072,-0.714025879358799,0.089,0.101,1,"ANKMY2"
"PCID2",0.284970304776263,-0.558818982156908,0.15,0.159,1,"PCID2"
"SERINC5",0.285068561878029,-0.159961656666093,0.196,0.203,1,"SERINC5"
"MRPL19",0.285306627828222,-0.00790289143545961,0.264,0.266,1,"MRPL19"
"TST",0.285618941690913,-0.0483220988779505,0.168,0.139,1,"TST"
"TP53",0.285630492658331,-0.264629323575005,0.189,0.194,1,"TP53"
"CLSTN1",0.285734973132078,0.042615128145688,0.341,0.288,1,"CLSTN1"
"GTF3C2",0.286080327437345,0.0813160946421903,0.166,0.137,1,"GTF3C2"
"PGM1",0.286085925919689,0.321907637993427,0.154,0.167,1,"PGM1"
"FAM114A1",0.286477680173441,0.300865941011136,0.175,0.146,1,"FAM114A1"
"BSDC1",0.286884792391176,-0.29282111121584,0.138,0.147,1,"BSDC1"
"C2",0.287008206632102,0.00453920059876056,0.659,0.806,1,"C2"
"ARHGAP30",0.287474287401199,0.0792636350398341,0.353,0.301,1,"ARHGAP30"
