"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SLC16A10",6.56212780014394e-50,1.24818284074455,0.272,0.128,1.3084882833487e-45,"SLC16A10"
"MED27",1.57310724163297e-23,-1.24729783905572,0.048,0.112,3.13677583981614e-19,"MED27"
"MAP3K13",5.55910902993658e-26,-1.24640773419968,0.089,0.171,1.10848634056935e-21,"MAP3K13"
"IRAK2",7.50652935522771e-41,1.24533024634822,0.227,0.107,1.4968019534324e-36,"IRAK2"
"TTLL5",8.71177294955406e-26,-1.24290655973819,0.039,0.104,1.73712752614108e-21,"TTLL5"
"ALDOA",2.24060921277429e-114,1.24115858177878,0.437,0.179,4.46777477027194e-110,"ALDOA"
"PAPPA",4.57895178805391e-59,-1.24008557978889,0.041,0.157,9.1304298653795e-55,"PAPPA"
"SLC33A1",3.63352592577882e-21,-1.23958007370935,0.049,0.11,7.24525069600297e-17,"SLC33A1"
"VKORC1",7.70878766219754e-15,-1.23915160926662,0.083,0.14,1.53713225984219e-10,"VKORC1"
"RPS6KA2",1.36323669236101e-20,-1.23900300791278,0.052,0.112,2.71829396456785e-16,"RPS6KA2"
"CLEC2D",4.27964115927817e-27,-1.23710374276746,0.041,0.108,8.53360447160066e-23,"CLEC2D"
"ASTN2",1.47214017884646e-23,-1.2364450010367,0.097,0.175,2.93544751661983e-19,"ASTN2"
"FCAR",4.31555258585161e-28,1.23572177912873,0.126,0.049,8.60521185618811e-24,"FCAR"
"CSTF3",7.30685362421238e-24,-1.23441943141888,0.057,0.125,1.45698661266795e-19,"CSTF3"
"GABRA3",1.78175417327703e-24,-1.23338137369959,0.074,0.149,3.55281782151439e-20,"GABRA3"
"IL10RB",1.66153099448662e-26,-1.23289041053571,0.065,0.141,3.31309280300632e-22,"IL10RB"
"EIF4A1",5.90350370554768e-75,-1.2307191994334,0.185,0.371,1.17715863888621e-70,"EIF4A1"
"CASK",5.38996057315185e-31,-1.23044608327141,0.091,0.185,1.07475813828648e-26,"CASK"
"DDIT4",3.14538670202606e-55,1.22906037668073,0.285,0.131,6.27190108383997e-51,"DDIT4"
"PIGX",1.6729527394402e-21,-1.22783709579673,0.058,0.123,3.33586776244375e-17,"PIGX"
"MBOAT1",1.43497513308716e-33,-1.22210163388826,0.122,0.225,2.8613404153758e-29,"MBOAT1"
"SOBP",1.2285314605322e-25,-1.22026680329029,0.078,0.157,2.44969173230121e-21,"SOBP"
"TTC28",5.92907690601499e-25,-1.21929650685961,0.068,0.142,1.18225793505939e-20,"TTC28"
"AASS",4.05255234957482e-21,-1.21752379529065,0.043,0.101,8.0807893850522e-17,"AASS"
"ELP4",1.42842727121295e-28,-1.21515654879838,0.079,0.164,2.84828397879863e-24,"ELP4"
"PAPSS2",6.34086306851906e-39,1.21144228261797,0.243,0.122,1.2643680958627e-34,"PAPSS2"
"KRT18",3.38226644376464e-58,-1.21080196340404,0.07,0.204,6.7442392888667e-54,"KRT18"
"SLC35A3",1.04203846233065e-17,-1.20906108627653,0.055,0.11,2.07782469388732e-13,"SLC35A3"
"TTC7B",8.03221750907391e-28,-1.20836668695967,0.071,0.152,1.60162417130934e-23,"TTC7B"
"FUT8",2.62240264885335e-24,-1.20798886970499,0.08,0.156,5.22907088181357e-20,"FUT8"
"MBTD1",1.33840179911166e-25,-1.2076314783149,0.058,0.13,2.66877318742865e-21,"MBTD1"
