"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LYSMD2",0.00381465158170221,-0.123797969693941,0.134,0.114,1
"MAP7",0.00382489029820439,-0.0487928811380683,0.132,0.154,1
"DEF8",0.00391451909128382,0.0694460773427474,0.183,0.164,1
"TMF1",0.00396025159612749,-0.0824602386039325,0.282,0.315,1
"PLA2G4C",0.00396884701248815,0.222209458395613,0.134,0.157,1
"PSMA3",0.00397780120032045,-0.278510311568416,0.275,0.299,1
"CEBPB",0.00397826040480958,0.0513456456269381,0.656,0.671,1
"RSRC2",0.00398639834523005,-0.0608837028956801,0.414,0.453,1
"TALDO1",0.00398946392664165,-0.303122831397651,0.43,0.454,1
"CBX5",0.00399011890762476,-0.124663879199085,0.122,0.142,1
"PSMD8",0.00399848835840773,-0.324843779301375,0.353,0.377,1
"CIRBP",0.00404608246651243,-0.149610155981535,0.557,0.596,1
"MAP3K14",0.00406685318073106,0.560852204354945,0.108,0.094,1
"SLC38A7",0.00407670460251351,-0.0502703776352091,0.249,0.28,1
"ZFAND3",0.00409647118235976,0.090496198167642,0.346,0.32,1
"OPA1",0.00411200205096413,0.315302968963273,0.174,0.158,1
"ECHDC2",0.00413425426516762,-0.0327754989675004,0.095,0.112,1
"PTPN2",0.00420231856935977,0.14435094711521,0.293,0.275,1
"NCOA7",0.00420727588085126,-0.107296227499156,0.271,0.301,1
"CNTRL",0.00422859049173956,-0.11208972275993,0.271,0.302,1
"ZBTB34",0.0042620416783336,-0.216211863835039,0.089,0.106,1
"ITGA9",0.00426505735187348,0.373808050639796,0.155,0.138,1
"TNIP2",0.00429207597224904,0.0767126793890592,0.137,0.119,1
"SLC15A4",0.00434169712390514,-0.184998992091968,0.169,0.192,1
"DHX29",0.00437741796967133,-0.201059429706841,0.197,0.221,1
"AQR",0.00442435186878465,-0.0877861814572967,0.136,0.157,1
"PHAX",0.00455879418461072,-0.416959115073117,0.15,0.167,1
"AMACR",0.0045681583143536,-0.457680198994808,0.091,0.106,1
"TUBA1C",0.00458515025095632,0.0800583221074279,0.393,0.382,1
"ATP2B4",0.00465499444706609,-0.0975611174914884,0.279,0.308,1
"RBM18",0.00466673535881503,0.049921134361951,0.106,0.09,1
"C6orf120",0.00467753393266792,0.122799739045428,0.168,0.149,1
"CKAP2",0.00468685764676907,-0.328947143562914,0.121,0.139,1
"CYB5R4",0.00470095714067686,-0.253237661037846,0.179,0.201,1
"DERL1",0.00471329067319619,0.128060402052729,0.179,0.16,1
"CBX6",0.00474431309840624,0.304401832935133,0.126,0.111,1
"OSTC",0.00476453090276024,-0.0842789975147467,0.324,0.3,1
